threshold,precision,recall,f1_score
0.62,0.20944631169290642,0.4769385699899295,0.29107000184377113
0.63,0.2144469525959368,0.459214501510574,0.2923639161377188
0.64,0.22084168336673346,0.44390735146022153,0.2949481431917029
0.65,0.22759208005109643,0.43061430010070495,0.29779232537084754
0.66,0.23335979135956458,0.41450151057401813,0.2986070806732443
0.67,0.23907517249727636,0.39778449144008055,0.29865416603659456
0.68,0.24517299468705456,0.381067472306143,0.29837565052830783
0.69,0.253393032041416,0.36475327291037263,0.2990422721268164
0.7,0.2591362126245847,0.345619335347432,0.29619401052904115
0.71,0.2623190762725646,0.32487411883182277,0.29026453122188234
0.72,0.26941917424772566,0.31017119838872104,0.2883625128733265
0.73,0.27482370878597295,0.2904330312185297,0.28241284763023894
0.74,0.28277581549968833,0.2741188318227593,0.2783800368173451
0.75,0.2918376652986776,0.2578046324269889,0.2737675114960967
0.76,0.2988855116514691,0.23766364551863042,0.26478177942331427
0.77,0.30261309356560834,0.21691842900302113,0.2526982637259503
0.78,0.31100478468899523,0.19637462235649547,0.24074074074074073
0.79,0.31901181525241673,0.17945619335347432,0.2296983758700696
0.8,0.33196553139105456,0.16294058408862033,0.21858957038638205
0.81,0.33655172413793105,0.1474320241691843,0.20504201680672268
0.82,0.34798927613941016,0.13071500503524672,0.19004392386530014
0.83,0.3550185873605948,0.11540785498489425,0.1741906064751482
0.84,0.3627240143369176,0.10191339375629406,0.1591194968553459
0.85,0.3689655172413793,0.08620342396777442,0.13975510204081631
0.86,0.3951527924130664,0.0755287009063444,0.12681772066283395
0.87,0.40551181102362205,0.062235649546827795,0.10790990047145102
0.88,0.4397993311036789,0.05297079556898288,0.09455329857990293
0.89,0.45751633986928103,0.04229607250755287,0.07743362831858407
0.9,0.4722222222222222,0.03081570996978852,0.057855927396483264
0.91,0.4933920704845815,0.02255790533736153,0.04314329738058552
0.92,0.5384615384615384,0.015508559919436053,0.030148786217697728
0.93,0.5604395604395604,0.01027190332326284,0.020174050632911392
0.94,0.5217391304347826,0.004833836858006042,0.009578926362003592
0.95,0.6153846153846154,0.0032225579053373615,0.006411540773392106
